Ciudades,Palmira,Pasto,Tulua,Bogota,Pereira,Armenia,Manizales,Valledupar,Monteria,Soledad,Cartagena,Barranquilla,Medellin,Bucaramanga,Cucuta
Palmira,0,35251.17216,6962.326272,38503.77408,17054.18304,14504.8464,21010.05024,96874.79232,70941.88512,96523.15968,90633.31296,108742.3939,35251.17216,66106.93632,83073.2112
Pasto,35251.17216,0,41228.92704,72524.232,51426.2736,48789.0288,55733.77344,131950.1482,105313.9757,130895.2502,125181.2198,143817.7498,69974.89536,100479.0269,117005.761
Tulua,6962.326272,41228.92704,0,31734.84576,10373.16288,7797.453792,14680.66272,90633.31296,63821.32416,89754.23136,84655.55808,102413.0064,28921.78464,59250.09984,76040.5584
Bogota,38503.77408,72524.232,31734.84576,0,29009.6928,24702.19296,25581.27456,76216.37472,69183.72192,87732.34368,91864.0272,88083.97632,36481.8864,37712.60064,49052.75328
Pereira,17054.18304,51426.2736,10373.16288,29009.6928,0,4052.566176,4711.877376,80435.9664,53975.61024,79644.79296,74458.21152,92303.568,18812.34624,49052.75328,65931.12
Armenia,14504.8464,48789.0288,7797.453792,24702.19296,4052.566176,0,8606.208864,82809.48672,57931.47744,94589.18016,77886.62976,94677.08832,22680.30528,51426.2736,68216.73216
Manizales,21010.05024,55733.77344,14680.66272,25581.27456,4711.877376,8606.208864,0,76040.5584,52481.17152,78150.35424,73051.68096,87732.34368,17405.81568,44569.43712,61535.712
Valledupar,96874.79232,131950.1482,90633.31296,76216.37472,80435.9664,82809.48672,76040.5584,0,38064.23328,26196.63168,32438.11104,26636.17248,65843.21184,39470.76384,47558.31456
Monteria,70941.88512,105313.9757,63821.32416,69183.72192,53975.61024,57931.47744,52481.17152,38064.23328,0,29976.68256,22328.67264,31383.21312,35602.8048,54151.42656,61887.34464
Soledad,96523.15968,130895.2502,89754.23136,87732.34368,79644.79296,94589.18016,78150.35424,26196.63168,29976.68256,0,11340.15264,1424.112192,61184.07936,50986.7328,58898.4672
Cartagena,90633.31296,125181.2198,84655.55808,91864.0272,74458.21152,77886.62976,73051.68096,32438.11104,22328.67264,11340.15264,0,10461.07104,56524.94688,55821.6816,63469.69152
Barranquilla,108742.3939,143817.7498,102413.0064,88083.97632,92303.568,94677.08832,87732.34368,26636.17248,31383.21312,1424.112192,10461.07104,0,62151.06912,51426.2736,59425.91616
Medellin,35251.17216,69974.89536,28921.78464,36481.8864,18812.34624,22680.30528,17405.81568,65843.21184,35602.8048,61184.07936,56524.94688,62151.06912,0,34108.36608,50898.82464
Bucaramanga,66106.93632,100479.0269,59250.09984,37712.60064,49052.75328,51426.2736,44569.43712,39470.76384,54151.42656,50986.7328,55821.6816,51426.2736,34108.36608,0,17317.90752
Cucuta,83073.2112,117005.761,76040.5584,49052.75328,65931.12,68216.73216,61535.712,47558.31456,61887.34464,58898.4672,63469.69152,59425.91616,50898.82464,17317.90752,0
