Ciudades,Palmira,Pasto,Tulua,Bogota,Pereira,Armenia,Manizales,Valledupar,Monteria,Soledad,Cartagena,Barranquilla,Medellin,Bucaramanga,Cucuta
Palmira,0,38600,27500,99600,49600,47900,75700,160000,166300,215300,82400,175900,93000,122800,140100
Pasto,38600,0,55900,128000,80300,76300,101100,183400,209800,231600,229000,213400,117800,76300,91200
Tulua,27500,55900,0,133500,22100,40800,57300,106800,85100,174500,204200,183200,74600,100100,129500
Bogota,99600,128000,133500,0,71600,51700,40800,101900,137000,142500,121000,134700,89700,60400,42700
Pereira,49600,80300,22100,71600,0,14500,35200,107400,131800,162500,177900,161100,52500,78000,95300
Armenia,47900,76300,40800,51700,14500,0,49700,104300,146300,138100,165200,145900,58300,74900,92200
Manizales,75700,101100,57300,40800,35200,49700,0,84300,119700,150400,157900,125900,28300,54900,72200
Valledupar,160000,183400,106800,101900,107400,104300,84300,0,50800,48700,52400,56500,103000,51500,33100
Monteria,166300,209800,85100,137000,131800,146300,119700,50800,0,66200,73500,48500,80200,50800,32400
Soledad,215300,231600,174500,142500,162500,138100,150400,48700,66200,0,24900,0,122100,85300,66900
Cartagena,82400,229000,204200,121000,177900,165200,157900,52400,73500,24900,0,24900,275000,70600,46700
Barranquilla,175900,213400,183200,134700,161100,145900,125900,56500,48500,0,24900,0,122100,186200,74700
Medellin,93000,117800,74600,89700,52500,58300,28300,103000,80200,122100,275000,122100,0,73600,90900
Bucaramanga,122800,76300,100100,60400,78000,74900,54900,51500,50800,85300,70600,186200,73600,0,17300
Cucuta,140100,91200,129500,42700,95300,92200,72200,33100,32400,66900,46700,74700,90900,17300,0
