Ciudades,Palmira,Pasto,Tulua,Bogota,Pereira,Armenia,Manizales,Valledupar,Monteria,Soledad,Cartagena,Barranquilla,Medellin,Bucaramanga,Cucuta
Palmira,0,35522.55,5074.65,32298.939,13049.1,11115.9,20379.15,79406.19,58285.98,78197.94,75394.8,78777.9,29722.95,54467.91,65970.45
Pasto,35522.55,0,40017.24,59542.56,47991.69,46203.48,59848.65,111883.95,93357.45,113253.3,110434.05,113736.6,64681.65,86832.9,98432.1
Tulua,5074.65,40017.24,0,27467.55,8216.1,6444,14740.65,74589.3,53485.2,73381.05,70561.8,73944.9,24889.95,49618.8,61137.45
Bogota,32298.939,59542.56,27467.55,0,24487.2,21265.2,34636.5,60493.05,57834.9,68950.8,74911.5,68709.15,31011.75,28675.8,40033.35
Pereira,13049.1,47991.69,8216.1,24487.2,0,3866.4,6363.45,66614.85,45510.75,65406.6,62587.35,65889.9,16915.5,41563.8,53163
Armenia,11115.9,46203.48,6444,21265.2,3866.4,0,10954.8,68225.85,49216.05,69192.45,66373.2,69675.75,20620.8,43416.45,55015.65
Manizales,20379.15,59848.65,14740.65,34636.5,6363.45,10954.8,0,69111.9,59526.45,83933.1,78697.35,81113.85,23520.6,45671.85,69836.85
Valledupar,79406.19,111883.95,74589.3,60493.05,66614.85,68225.85,69111.9,0,30689.55,21023.55,27145.35,20862.45,53082.45,36569.7,39388.95
Monteria,58285.98,93357.45,53485.2,57834.9,45510.75,49216.05,59526.45,30689.55,0,23440.05,20298.6,24003.9,28192.5,51149.25,57512.7
Soledad,78197.94,113253.3,73381.05,68950.8,65406.6,69192.45,83933.1,21023.55,23440.05,0,10310.4,644.4,48249.45,44946.9,47766.15
Cartagena,75394.8,110434.05,70561.8,74911.5,62587.35,66373.2,78697.35,27145.35,20298.6,10310.4,0,9746.55,45752.4,51552,54290.7
Barranquilla,78777.9,113736.6,73944.9,68709.15,65889.9,69675.75,81113.85,20862.45,24003.9,644.4,9746.55,0,48732.75,44785.8,51898.365
Medellin,29722.95,64681.65,24889.95,31011.75,16915.5,20620.8,23520.6,53082.45,28192.5,48249.45,45752.4,48732.75,0,28836.9,40436.1
Bucaramanga,54467.91,86832.9,49618.8,28675.8,41563.8,43416.45,45671.85,36569.7,51149.25,44946.9,51552,44785.8,28836.9,0,11760.3
Cucuta,65970.45,98432.1,61137.45,40033.35,53163,55015.65,69836.85,39388.95,57512.7,47766.15,54290.7,10509.09,40436.1,11760.3,0
