Ciudades,Palmira,Pasto,Tulua,Bogota,Pereira,Armenia,Manizales,Valledupar,Monteria,Soledad,Cartagena,Barranquilla,Medellin,Bucaramanga,Cucuta
Palmira,0,401,79.2,438,194,165,239,1102,807,1098,1031,1237,401,752,945
Pasto,401,0,469,825,585,555,634,1501,1198,1489,1424,1636,796,1143,1331
Tulua,79.2,469,0,361,118,88.7,167,1031,726,1021,963,1165,329,674,865
Bogota,438,825,361,0,330,281,291,867,787,998,1045,1002,415,429,558
Pereira,194,585,118,330,0,46.1,53.6,915,614,906,847,1050,214,558,750
Armenia,165,555,88.7,281,46.1,0,97.9,942,659,1076,886,1077,258,585,776
Manizales,239,634,167,291,53.6,97.9,0,865,597,889,831,998,198,507,700
Valledupar,1102,1501,1031,867,915,942,865,0,433,298,369,303,749,449,541
Monteria,807,1198,726,787,614,659,597,433,0,341,254,357,405,616,704
Soledad,1098,1489,1021,998,906,1076,889,298,341,0,129,16.2,696,580,670
Cartagena,1031,1424,963,1045,847,886,831,369,254,129,0,119,643,635,722
Barranquilla,1237,1636,1165,1002,1050,1077,998,303,357,16.2,119,0,707,585,676
Medellin,401,796,329,415,214,258,198,749,405,696,643,707,0,388,579
Bucaramanga,752,1143,674,429,558,585,507,449,616,580,635,585,388,0,197
Cucuta,945,1331,865,558,750,776,700,541,704,670,722,676,579,197,0
