Ciudades,Palmira,Pasto,Tulua,Bogota,Pereira,Armenia,Manizales,Valledupar,Monteria,Soledad,Cartagena,Barranquilla,Medellin,Bucaramanga,Cucuta
Palmira,0,109373.7222,39536.97627,170402.7131,79703.28304,73520.7464,117089.2002,336280.9823,295527.8651,390021.0997,248428.113,363420.2939,157974.1222,243374.8463,289143.6612
Pasto,109373.7222,0,137146.167,260066.792,179717.9636,171292.5088,216682.4234,427234.0982,408471.4257,475748.5502,464615.2698,470954.3498,252456.5454,263611.9269,306637.861
Tulua,39536.97627,137146.167,0,192702.3958,40689.26288,55041.45379,86721.31272,272022.613,202406.5242,337635.2814,359417.3581,359557.9064,128411.7346,208968.8998,266678.0084
Bogota,170402.7131,260066.792,192702.3958,0,125096.8928,97667.39296,101017.7746,238609.4247,264018.6219,299183.1437,287775.5272,291493.1263,157193.6364,126788.4006,131786.1033
Pereira,79703.28304,179717.9636,40689.26288,125096.8928,0,22418.96618,46275.32738,254450.8164,231286.3602,307551.393,314945.5615,319293.468,88227.84624,168616.5533,214394.12
Armenia,73520.7464,171292.5088,55041.45379,97667.39296,22418.96618,0,69261.00886,255335.3367,253447.5274,301881.6302,309459.8298,310252.8383,101601.1053,169742.7236,215432.3822
Manizales,117089.2002,216682.4234,86721.31272,101017.7746,46275.32738,69261.00886,0,229452.4584,231707.6215,312483.4542,309649.031,294746.1937,69226.41568,145141.2871,203572.562
Valledupar,336280.9823,427234.0982,272022.613,238609.4247,254450.8164,255335.3367,229452.4584,0,119553.7833,95920.18168,111983.461,103998.6225,221925.6618,127540.4638,120047.2646
Monteria,295527.8651,408471.4257,202406.5242,264018.6219,231286.3602,253447.5274,231707.6215,119553.7833,0,119616.7326,116127.2726,103887.1131,143995.3048,156100.6766,151800.0446
Soledad,390021.0997,475748.5502,337635.2814,299183.1437,307551.393,301881.6302,312483.4542,95920.18168,119616.7326,0,46550.55264,2068.512192,231533.5294,181233.6328,173564.6172
Cartagena,248428.113,464615.2698,359417.3581,287775.5272,314945.5615,309459.8298,309649.031,111983.461,116127.2726,46550.55264,0,45107.62104,377277.3469,177973.6816,164460.3915
Barranquilla,363420.2939,470954.3498,359557.9064,291493.1263,319293.468,310252.8383,294746.1937,103998.6225,103887.1131,2068.512192,45107.62104,0,232983.8191,282412.0736,186024.2812
Medellin,157974.1222,252456.5454,128411.7346,157193.6364,88227.84624,101601.1053,69226.41568,221925.6618,143995.3048,231533.5294,377277.3469,232983.8191,0,136545.2661,182234.9246
Bucaramanga,243374.8463,263611.9269,208968.8998,126788.4006,168616.5533,169742.7236,145141.2871,127540.4638,156100.6766,181233.6328,177973.6816,282412.0736,136545.2661,0,46378.20752
Cucuta,289143.6612,306637.861,266678.0084,131786.1033,214394.12,215432.3822,203572.562,120047.2646,151800.0446,173564.6172,164460.3915,144635.0062,182234.9246,46378.20752,0
