Ciudades,Palmira,Pasto,Tulua,Bogota,Pereira,Armenia,Manizales,Valledupar,Monteria,Soledad,Cartagena,Barranquilla,Medellin,Bucaramanga,Cucuta
Palmira,0,7.35,1.05,6.683,2.7,2.3,4.216666667,16.43,12.06,16.18,15.6,16.3,6.15,11.27,13.65
Pasto,7.35,0,8.28,12.32,9.93,9.56,12.38333333,23.15,19.31666667,23.43333333,22.85,23.53333333,13.38333333,17.96666667,20.36666667
Tulua,1.05,8.28,0,5.683333333,1.7,1.333333333,3.05,15.43333333,11.06666667,15.18333333,14.6,15.3,5.15,10.26666667,12.65
Bogota,6.683,12.32,5.683333333,0,5.066666667,4.4,7.166666667,12.51666667,11.96666667,14.26666667,15.5,14.21666667,6.416666667,5.933333333,8.283333333
Pereira,2.7,9.93,1.7,5.066666667,0,0.8,1.316666667,13.78333333,9.416666667,13.53333333,12.95,13.63333333,3.5,8.6,11
Armenia,2.3,9.56,1.333333333,4.4,0.8,0,2.266666667,14.11666667,10.18333333,14.31666667,13.73333333,14.41666667,4.266666667,8.983333333,11.38333333
Manizales,4.216666667,12.38333333,3.05,7.166666667,1.316666667,2.266666667,0,14.3,12.31666667,17.36666667,16.28333333,16.78333333,4.866666667,9.45,14.45
Valledupar,16.43,23.15,15.43333333,12.51666667,13.78333333,14.11666667,14.3,0,6.35,4.35,5.616666667,4.316666667,10.98333333,7.566666667,8.15
Monteria,12.06,19.31666667,11.06666667,11.96666667,9.416666667,10.18333333,12.31666667,6.35,0,4.85,4.2,4.966666667,5.833333333,10.58333333,11.9
Soledad,16.18,23.43333333,15.18333333,14.26666667,13.53333333,14.31666667,17.36666667,4.35,4.85,0,2.133333333,0.133333333,9.983333333,9.3,9.883333333
Cartagena,15.6,22.85,14.6,15.5,12.95,13.73333333,16.28333333,5.616666667,4.2,2.133333333,0,2.016666667,9.466666667,10.66666667,11.23333333
Barranquilla,16.3,23.53333333,15.3,14.21666667,13.63333333,14.41666667,16.78333333,4.316666667,4.966666667,0.133333333,2.016666667,0,10.08333333,9.266666667,10.73833333
Medellin,6.15,13.38333333,5.15,6.416666667,3.5,4.266666667,4.866666667,10.98333333,5.833333333,9.983333333,9.466666667,10.08333333,0,5.966666667,8.366666667
Bucaramanga,11.27,17.96666667,10.26666667,5.933333333,8.6,8.983333333,9.45,7.566666667,10.58333333,9.3,10.66666667,9.266666667,5.966666667,0,2.433333333
Cucuta,13.65,20.36666667,12.65,8.283333333,11,11.38333333,14.45,8.15,11.9,9.883333333,11.23333333,2.174444444,8.366666667,2.433333333,0
